Group,Test,Value,Type,Stack,Data,Address.cor,Address.mem,STACK,Dist,Correto
GrupoB,ijk00,456,Stack,123176,61588,123176,NA,NA,NA,FALSE
GrupoB,ijk00,923,Data,123176,61588,61588,NA,NA,NA,FALSE
GrupoB,ijk00,1379,Stack,123176,61588,123176,NA,NA,NA,FALSE
GrupoB,ijk01,456,Stack,123149,61574,123149,NA,NA,NA,FALSE
GrupoB,ijk01,923,Data,123149,61574,61574,NA,NA,NA,FALSE
GrupoB,ijk01,1379,Stack,123149,61574,123149,NA,NA,NA,FALSE
GrupoB,ijk02,456,Data,130635,65317,65317,NA,NA,NA,FALSE
GrupoB,ijk02,923,Data,130635,65317,65317,NA,NA,NA,FALSE
GrupoB,ijk02,1379,Data,130635,65317,65317,NA,NA,NA,FALSE
GrupoB,ijk03,456,Data,131895,65947,65947,NA,NA,NA,FALSE
GrupoB,ijk03,923,Data,131895,65947,65947,NA,NA,NA,FALSE
GrupoB,ijk03,1379,Data,131895,65947,65947,NA,NA,NA,FALSE
GrupoB,ijk04,30,Stack,123282,61641,123282,NA,NA,NA,FALSE
GrupoB,ijk04,46,Stack,123282,61641,123282,NA,NA,NA,FALSE
GrupoB,ijk04,76,Stack,123282,61641,123282,NA,NA,NA,FALSE
GrupoB,ijk05,-18,Stack,116416,58208,116416,NA,NA,NA,FALSE
GrupoB,ijk05,-2,Stack,116416,58208,116416,NA,NA,NA,FALSE
GrupoB,ijk05,16,Stack,116416,58208,116416,NA,NA,NA,FALSE
GrupoB,ijk06,5,Stack,129934,64967,129934,NA,NA,NA,FALSE
GrupoB,ijk06,12,Stack,129934,64967,129934,NA,NA,NA,FALSE
GrupoB,ijk06,25,Stack,129934,64967,129934,NA,NA,NA,FALSE
GrupoB,ijk07,45,Stack,125526,62763,125526,NA,NA,NA,FALSE
GrupoB,ijk07,135,Stack,125526,62763,125526,NA,NA,NA,FALSE
GrupoB,ijk07,6075,Stack,125526,62763,125526,NA,NA,NA,FALSE
GrupoB,ijk08,3,Stack,110489,55244,110489,NA,NA,NA,FALSE
GrupoB,ijk08,15,Stack,110489,55244,110489,NA,NA,NA,FALSE
